mean_brier_E,mean_brier_C,mean_brier_R,mean_ll_E,mean_ll_C,mean_ll_R,impr_R_vs_C_brier,impr_R_vs_C_ll,impr_R_vs_E_brier,impr_R_vs_E_ll,impr_C_vs_E_brier,impr_C_vs_E_ll,rep_mean_good,rep_mean_bad,rep_separation,seed,regime,stake_mean_good,stake_mean_bad
0.0894625889223898,0.0902842757189595,0.09016937859772606,0.32152345336008586,0.3238850771702703,0.3234593193011161,0.12726149744070495,0.1314533762635793,-0.7900393715963324,-0.602091673499845,-0.9184697273656225,-0.7345105887313251,0.8333321397828597,0.7465184443102502,1.1162914274044784,0,uncorrelated,0.7785618097751621,1.0553595475562094
0.08919348122639426,0.08957709996033777,0.08948967617758251,0.32168659052595205,0.3229967225899329,0.3226611659048875,0.09759612980770233,0.10388857272443017,-0.3320813888140991,-0.3029580366847302,-0.4300972769184822,-0.40726971610436,0.8692838402653926,0.781481896334529,1.1123531387517622,1,uncorrelated,0.7785279116508286,1.0553680220872927
0.08948995185650813,0.08898250046722926,0.08883000289884481,0.3234365965557795,0.32120257367793137,0.3206713498457704,0.17137927972771938,0.16538592019304071,0.7374559310541439,0.8549578926614183,0.567048454884112,0.690714316696952,0.8384498344528926,0.7549106820023413,1.1106609754533743,2,uncorrelated,1.5218125261566409,0.8695468684608401
0.0873160864796721,0.09051658814287335,0.09039357846469638,0.31697150122893347,0.32480666580865,0.32441138631719385,0.13589738709860025,0.12169685325638949,-3.5245418216730906,-2.347177919596911,-3.6654204193477633,-2.4718829766520667,0.8881805584076787,0.7917020068684488,1.1218622040897024,3,uncorrelated,0.6209768001785051,1.0947557999553736
0.08701162306123265,0.0873206554486829,0.08715751435805012,0.3165242116364982,0.31655752932135517,0.3159816710494788,0.1868298969980206,0.18191267574994532,-0.16766874549024396,0.17140571465745447,-0.355162191645091,-0.01052610941978878,0.8801511731462819,0.7976282025943606,1.1034604472152658,4,uncorrelated,1.3499598842101925,0.9125100289474519
0.08389547448660643,0.08494404404489136,0.08487088156545419,0.3093983622074405,0.31235104324484503,0.3120924191944198,0.08613020519544268,0.08279916331909767,-1.162645643065621,-0.8707405455407885,-1.249852348653599,-0.9543298860208154,0.7668662826370142,0.6986830135351242,1.097588273624835,5,uncorrelated,0.6395769680783607,1.0901057579804099
0.08904561938110506,0.0899175886496045,0.08979208499095861,0.32168063229077326,0.3244281912102389,0.3239936462294565,0.13957631708180698,0.1339418067096514,-0.8382957129634541,-0.719040472599059,-0.9792388155193985,-0.8541263115219454,0.8516537040073733,0.7874995695573727,1.081465612084156,6,uncorrelated,0.6179875408161889,1.0955031147959526
0.08507703204849235,0.08692158763435642,0.08680934495433139,0.3115764510511364,0.31718804479958373,0.31679152857347287,0.12913095938513441,0.12500982701331184,-2.0361698852537025,-1.6737713985581528,-2.1681005336583845,-1.8010326934259697,0.8376427910167917,0.752551133534583,1.1130709312502793,7,uncorrelated,0.6062277564318309,1.0984430608920421
0.08945362799286552,0.08982003062302822,0.08964492122317073,0.32267404439927055,0.3237413289379133,0.323134970506664,0.19495584519717613,0.18729719595534688,-0.21384625151309827,-0.14284573407556594,-0.4096006370942545,-0.33076243880406636,0.8777286557023496,0.801745532003439,1.0947721199132103,8,uncorrelated,1.0593544454416826,0.9851613886395792
0.08959059897773303,0.09006725489005896,0.08987516076740845,0.3231403448564902,0.3237325741234194,0.32305567285045667,0.21327853600621588,0.2090927287115243,-0.31762460896834754,0.026202858102140895,-0.5320378675494717,-0.183273081296059,0.8787352113622608,0.7905658990325064,1.1115268346859584,9,uncorrelated,1.2883451188546087,0.9279137202863481
