Regime,Metric,J,Seeds,R vs C (%),95% CI,p-value,Sig,C vs E (%),Rep Sep
A: Uncorrelated,Brier,5000,30,0.15506327618168056,"[+0.1433, +0.1663]",1.2323784341030897e-21,***,-0.833990304209374,1.105040121011095
A: Uncorrelated,LogLoss,5000,30,0.15177823970970322,"[+0.1407, +0.1623]",4.12256277289914e-22,***,-0.5862821480510737,1.105040121011095
B: Anti-correlated,Brier,5000,30,0.1384899263641678,"[+0.1226, +0.1557]",4.787909641599052e-16,***,-1.2125141148459084,1.105040121011095
B: Anti-correlated,LogLoss,5000,30,0.13204877541031224,"[+0.1170, +0.1478]",2.385404153346906e-16,***,-0.9252888483234317,1.105040121011095
C: Correlated,Brier,5000,30,0.14472253367109753,"[+0.1336, +0.1560]",3.529557982243469e-21,***,1.8811323102660646,1.105040121011095
C: Correlated,LogLoss,5000,30,0.1702620634067252,"[+0.1606, +0.1797]",3.5445933065261625e-25,***,2.1913864151364697,1.105040121011095
